time,FLOW
2016-06-05,0.0651
2016-06-06,0.062
2016-06-07,0.0551
2016-06-08,0.0482
2016-06-09,0.0447
2016-06-10,0.0428
2016-06-11,0.0423
2016-06-12,0.041
2016-06-13,0.0385
2016-06-14,0.0354
2016-06-15,0.0387
2016-06-16,0.0526
2016-06-17,0.0764
2016-06-18,0.0638
2016-06-19,0.0531
2016-06-20,0.0474
2016-06-21,0.0463
2016-06-22,0.0458
2016-06-23,0.0478
2016-06-24,0.0822
2016-06-25,0.0729
2016-06-26,0.0653
2016-06-27,0.0595
2016-06-28,0.0562
2016-06-29,0.0489
2016-06-30,0.0453
2016-07-01,0.0443
2016-07-02,0.0435
2016-07-03,0.0584
2016-07-04,0.0592
2016-07-05,0.0697
2016-07-06,0.0614
2016-07-07,0.0522
2016-07-08,0.0505
2016-07-09,0.0513
2016-07-10,0.0452
2016-07-11,0.0423
2016-07-12,0.0495
2016-07-13,0.0577
2016-07-14,0.0505
2016-07-15,0.0453
2016-07-16,0.0432
2016-07-17,0.0415
2016-07-18,0.0403
2016-07-19,0.0376
2016-07-20,0.0344
2016-07-21,0.0301
2016-07-22,0.0273
2016-07-23,0.0261
2016-07-24,0.0248
2016-07-25,0.0241
2016-07-26,0.0255
2016-07-27,0.0308
2016-07-28,0.0294
2016-07-29,0.0434
2016-07-30,0.0377
